reviewer_rating,review_date,reviewer_category,reviewer_sentiment,cleaned_text_review,review_year,review_month
5.0,2023-05-27,Couples,1,visited center early may year almost  yrs postponed went orangutan first feeding suggested driver later sun bear sanctuary next orangutan well maintained helpfull kind staff facilty locker room toilet fantastic except cafe yet open  day went proboscis monkey sanctuary whic  minutes drive sepulok nice seen monkey short distance suggested driver went see fireflies plan thankfull experience next day went turtle island spend overnightprior arrival sandakan contacted driver mr eddie via whatsapp  email borneowildnaturegmailcom piick us airport took us one hotel sepilok seems received many good comment recomendations tripadvisor experience helpfull funny soft spoken gentleman,2023,5
5.0,2023-05-22,Friends,1,really enjoyed visiting sepilok orangutang centre beautiful see orangutangs nursery section staff amazing job rehabilitating youngsters morning feeding session platform orangutangs came returned afternoon privileged see  individual mothers babies another youngster beautiful sight witness wild animals never guarantee see outdoor platform,2023,5
4.0,2023-05-13,Couples,1, important know visiting sepilok orphanage  place see orangutans borneo prior travelling borneo think thought would time would see wonderful visit  orangutans lodge nature resort night visit sepilok also saw orangutans three lodges stayed whilst doubt plenty orangutans sanctuary sightings pretty much guaranteed feels best sightings trip truly wild ones sanctuary busy tourists well organised  see welcome talk sure guide gave us background definitely worth visit  holiday highlight  take large bags small ones need left lockers entrance go well hydrated  hot day  take water guests leaving feeding early get back vehicles water,2023,5
5.0,2023-05-04,Couples,1,visited sandakan experience nature tour enjoyed watching endangered animals roam freely natural habitat including observing feeding session sepilok orangutan rehabilitation center seeing sun bear visit proboscis monkey sanctuary park well maintained clean public toilet available comfortablewe planned spend two nights sandakan contacted private driver mr eddie advance let know places wanted see prescheduled appropriate tour content ensure suit timing trip sepilok monkeys sanctuary taken sandakan town food markets buffet lunches locals come second day eddie pick us hotel  pm start trip kinabatangan river afternoon cruise boat cruise start  pm sharp surprisingly expectation saw group elephants swimming cross river proboscis monkey type monkeys hornbil birds also seen along river reached back hotel around  pm long ride surely worth tripthe next morning eddie toook us airport able experience things would able experience driver thanks careful guidance car used new clean told us four wheel truck  seater toyota land cruiser bigger group know sure charged us way driver contacted earlier speak good english graduated well known university malaysia worked bank retirement would definitely recommend himthis contact information   borneowildnaturegmailcom,2023,5
1.0,2023-05-03,Not Specify,-1,really disappointing visit one things  looking forward trip borneo uk arrived  pm feeding avoid want enjoy visit staff really pushy started hassling us leave  walked boardwalk back car   members staff following us step step cm behind fun walked past orangutan boardwalk stopped m past let yearold take look one staff actually physically pushed son shoulders boardwalk said late left son tears shame  come long way visit,2023,5
5.0,2023-05-01,Couples,1,place absolutely incredible orangutans beautiful  special see helped people truly passionate rehabilitation highly highly recommend,2023,5
5.0,2023-04-24,Friends,1,sipilok great experience able see many orangutans natural settings caretakers call food set orangutans responds coming trees across land fortunate see alpha male seemed charge orangutans seemed let eat first kind snuck around get share watched mom baby coming tress taking food back lots viewing spots get amazing photos special place view protect animals allowing live natural habitat wonderful experience feel fortunate seen saw gorillas rwanda exciting,2023,4
5.0,2023-04-21,Family,1,fantastic experience timelimited tour sure go back multiple feeding times different experience alert also encountered orangutans walkway tree restrooms along path sun bears heard sun bear centre filled orangutans following daywhile main feeding time widely listed  earlier one nursery  better time arrive aware cafe mentioned site may open closed days visited appeared time got impression families young children counting unrefridgerated water available sale ticket office need buy start ticket office closes main entry times ahead feedings also extra small ticket charge camera bigger mobile phone,2023,4
5.0,2023-04-21,Friends,1,visited part titan tourfirst visit nursery watch orangutan behind glass almost like theatre seating stepped amazing animals  great able watch play eatingnext went outside feeding platform orangutan free come go want visit lucky enough  orangutan came platform feedamazing place definitely return,2023,4
5.0,2023-04-12,Couples,1,great experience incredible work helping orangutans relearn lost skills eventually make back wild meanwhile offering security regular meal needed since sadly due diminishing natural jungle sabah sometimes food scarce would recommend watching introduction video entering sanctuary explains lot increased level appreciation understanding got experience made experience even incredible wife went two separate days extremely lucky occasions first feeding saw  orangutans including juvenile adult male large cheeks mother wild born baby also went nursery feeding orangutans young recently rescued equally special experience saw many orangutans ages second visit saw two orangutans feeding incredible got watch pair interact one another also saw another large orangutan watching atop large tree distance well number hornbills macaques would recommend bringing pair binoculars,2023,4
5.0,2023-04-07,Couples,1,lovely place go see orangutans natural habitat lots us tourists well organised dont miss feeding times loved,2023,4
5.0,2023-03-26,Couples,1,need private hire car driver avoid using ripoff tour operators whatsapp anzar   speaks great english polite importantly safe driver vehicle take luggage need collecting airport used anzar go orang utan sanctuary proboscis monkeys kinabantangan river take us jetty turtle island  use tour operator take places book tickets direct example day ticket orang utan tours often  tell ticket valid feeding sessions important macac monkeys turn orang utan likely  saw much morning due macacs loads orang utan afternoon myr  operators charging  pick turtle island booked direct given anzar details also  cheaper tour operator working commission charges driving costs acts grab taxi,2023,3
5.0,2023-02-13,Not Specify,1,one mustsee attractions sepilok almost guaranteed see orangutan still good remember zoo orangutans roaming freely visited place saw one orangutan baby first feeding three second one ticket valid whole day stay area watch feedingsthe place relatively simple boardwalk single feeding platform need feeding platform get relatively crowded feeding times stay area best arrive  minutes feeding time enjoy quiet timewhen wearing mask mandatory protect orangutans also bags allowed must left guarded storage room,2023,2
4.0,2023-01-29,Not Specify,1, feeding times day youll need wear face mask leave belongings locker prepared short walkway youll reach feeding platform dont forget look walk several wild orang utan around get early went earlier watch orang utan playing around feeding platform food comes monkeys appear directions well worth visit,2023,1
5.0,2023-01-27,Couples,1,great place visit lucky enough see  orangutans morning went hired private driver anzar    whats app fantastic took us proboscis monkeys sunbears well reliable please remember wild sanctuary guaranteed see orangs none come feeding means great jobyour ticket valid morning afternoon feedingsthe baby area reno visited shame still worth trip,2023,1
5.0,2023-01-22,Family,1,arrived am feeding time am surprised lucky time dominant male present feeding platform overall experience amazing way found  orang utan near office,2023,1
5.0,2023-01-05,Not Specify,1,morning feeding happens am arrived  viewed display area watched orang utan video venturing platform wait orang utans know orang utans given food everyday get bored would forage orang utans appeared fortunately privilege see,2023,1
5.0,2022-12-28,Couples,1,brilliant work done well worth visiting try luck people downgrading reviews   much see  utter moronsthis zoo chance seeing amazing animals chance pay reasonable price visit support incredibly important project stayed nearby  nights joining tour visited times really good idea want maximise chances first afternoon session arrived early lucky see number orangutans including mother tiny baby animals wild yes sanctuary platform observe fences may may might wild grey monkeys obviously chances higher outside main fruit season monkeys need supplement diet please mindful surroundings respect quiet deserve eating bags allowed lockers available large cameras charged extra fee phones ok see one person facetiming someone full volume one places might scream people inconsiderate one staff member reminding people quiet think could impress little firmly would missed go without expectations enjoy,2022,12
5.0,2022-12-26,Friends,1,lucky encounter giant orang utan yo even center worker area come see know giant one turns luck thing apparently live human age live wild chose come whenever managed find food deeper part jungle  come giant ou apparently super strong told take  body builders restrain told baby ou hangs around close hand palms reminds gorilla palmsonly one platform opened bridge affected falling tree trunks closed second platform nursery section hoping buy mineral water cant find miss drinking sparkling mineral water cause quite hot local stalls selling sugary drinks please bring water also car entrance teenage dog looking like horse white nourish hungry super skinny bought fried fish cake local stall feed kindly bring bag kibbles better still leftover rice meal feed skinny dog friend stay kind,2022,12
4.0,2022-12-23,Family,1,rate   therere many orang utans suitable place visit family friends,2022,12
5.0,2022-12-03,Friends,1,main part trip see orangutangs certainly  disappointed way looked amazing helpers dedicated wellbeing unfortunately downside video kept stalling  important part tour felt valid important part trip,2022,12
5.0,2022-11-30,Not Specify,1,fantastic visit see orangutans well nearby sun bears bears kind shy didnt see great deal see three orangutans amazing saw alpha male got watch close see behaviour response others deferring alpha male quite experience staff impressive care animals knowledge definitely highlight trip ruanda see gorillas excited see orangutans,2022,11
4.0,2022-11-19,Not Specify,1,great opportunity learn orangutans malaysia see close orangutans wild peninsular malaysia centre created educate locals visitors likely reach people therefore able raise donations understandable stated animals released borneo old enough adequate life skills enclosures seemed adequaterelatively natural guide knowledgeable animals seemed privacy time centre limited boat schedule provided reasonable amount time,2022,11
5.0,2022-11-02,Not Specify,1,fabulous afternoon saw lots orangutans alpha male lovely see work staff film watched really highlighted real highlight must visit borneo,2022,11
4.0,2022-10-26,Not Specify,1,really enjoyed visits sanctuary saw many orangutans sizes including dominate male treat see enormous guy revisited afternoon crowded tourists morning session maybe less tourist noise afternoon meant orangutans comfortable coming onto feeding platformthe securityrangers good job keeping tourists away orangutans inevitably find way onto walkwaysthe glassed rehabilitation area allows comfortable viewing younginvalid orangutans  let glass put feeding platform follows glassed nursery viewing really great get early good positionlots monkeys cashing free feed know orangutans boss keep respectful eye themencouraging see healthy looking jungle around feeding platform surrounding jungle apparently quite vast sizewe heard pygmy elephant leaving tourists get see,2022,10
4.0,2022-10-06,Couples,1,place bucket list didnt disappointfirst thing say credit cards used atm sepilock take bag large small food drink inc water taken feeding station locker storage provided freethe nursery currently closed disappointing due maintenance things happenwe visited  times  days would suggest afternoon visits better busy less tour groups saw far orangutans afternoon day visited incredibly lucky seeing mums babies clinging individual orangutans  visits graced presence alpha male huge apparently generally visits every  weeks sothe staff centre informative friendly take safety visitors seriously also welfare orangutans high prioritycant recommend highly enough want see wild orangutans,2022,10
