reviewer_rating,review_date,reviewer_category,text_review
5.0 of 5 bubbles,Written 27 May 2023,Couples,"Visited the center early of May this year after almost 3 yrs postponed.  We went to the orangutan first  feeding (suggested by our driver) and later to the sun bear sanctuary which is just next to the orangutan. Both are well maintained with a very helpfull and kind staff. Facilty such as locker room and toilet are fantastic except the cafe is yet to be open.  At 1.30 the same day we went to Proboscis Monkey Sanctuary whic is about 40 minutes drive from Sepulok. It was very nice to have seen the monkey from a short distance. As suggested by our driver, we went to see fireflies which is not in our plan. We were so thankfull to him for this experience. The next day we went to the turtle Island and spend overnight.Prior to arrival to Sandakan, I contacted a driver, Mr. Eddie via whatsapp (00601171171178) and email: borneowildnature@gmail.com who piick us up at the airport and took us to one of the hotel in Sepilok. He seems to have received many good comment and recomendations in Tripadvisor. Experience, helpfull, funny and soft spoken gentleman."
5.0 of 5 bubbles,Written 22 May 2023,Friends,I really enjoyed visiting the sepilok orangutang centre. It was beautiful to see the orangutangs in the nursery section. The staff are doing an amazing job rehabilitating these youngsters. For the morning feeding session on the platform no orangutangs came so we returned in the afternoon and were privileged to see 2 individual mothers with their babies and another youngster. It was a beautiful sight to witness. These are wild animals so there is never a guarantee to see them at the outdoor platform. 
4.0 of 5 bubbles,Written 13 May 2023,Couples,"It’s important to know that visiting the Sepilok orphanage isn’t the only place that you can see Orangutans in Borneo. Prior to travelling to Borneo I think I thought this would be the only time we would see them. We had a wonderful visit from 2 orangutans to our lodge (My Nature Resort) the night before our visit to Sepilok. We also saw orangutans at each of the three other lodges we stayed at. Whilst there is no doubt that there they are plenty of Orangutans at the sanctuary and sightings are pretty much guaranteed it now feels that some of our best sightings on the trip were the truly wild ones. The sanctuary is busy with tourists but is well organised. We didn’t see the welcome talk , not sure why but our guide gave us some background. Definitely worth a visit but it wasn’t our holiday highlight. Don’t take any large bags with you or small ones as these need to be left in lockers at the entrance. Go in well hydrated if it’s a hot day as you can’t take your water in with you and some guests were leaving the feeding early to get back to their vehicles for water."
5.0 of 5 bubbles,Written 4 May 2023,Couples,"We visited Sandakan to experience  nature tour. I enjoyed watching endangered animals roam freely in their natural habitat, including observing a feeding session at the Sepilok Orangutan Rehabilitation Center, seeing Sun Bear and visit Proboscis Monkey Sanctuary. The park was well maintained and clean. Public toilet is available and very comfortable👍We planned to spend only two nights in Sandakan, I contacted a private driver (Mr. Eddie) in advance to let him know the places I wanted to see and he pre-scheduled the appropriate tour content to ensure it will suit our timing. After the trip to Sepilok and the monkeys sanctuary we were taken to Sandakan town, food markets, and buffet lunches where only locals come. On the second day, Eddie pick us up from hotel at 12.30 pm and start our trip to Kinabatangan River for afternoon cruise. Boat cruise start at 4.00 pm sharp. Surprisingly and not to our expectation we saw a group of elephants  swimming cross the river. Proboscis monkey and other type of the monkeys, hornbil birds can also be seen along the river. We reached back our hotel around 8.30 pm. It was a long ride but surely a worth trip.The next morning Eddie toook us to the airport. We were able to experience things that we would not have been able to experience with other driver. Thanks to his careful guidance. The car he used is very new and clean. He told us he has a four wheel truck and a 6 seater Toyota Land Cruiser for bigger group.. And we know for sure he charged us way below the other driver who we contacted earlier. He can speak a very good English as he graduated from a well known university in Malaysia and worked in bank  before his retirement. We would definitely recommend him!This is his contact information:+60 117 117 1178borneowildnature@gmail.com"
1.0 of 5 bubbles,Written 3 May 2023,,Had a really disappointing visit here - it had been one of the things we’d been most looking forward to on our trip to Borneo from the UK. We arrived at 2.45 for the 3pm feeding - but avoid this if you can if you want to enjoy your visit as the staff are really pushy and started hassling us to leave from about 3.45. Walked down the boardwalk back to the car at 3.50 with 5 members of staff following us step by step about 30cm behind which was no fun. We walked past an orangutan on the boardwalk and stopped when we were about 10m past him to let my 3-year-old take a look - and one of the staff actually physically pushed me with my son on my shoulders on the boardwalk because he said it was too late. Left with my son in tears. Such a shame as we’d come a long way to visit.
5.0 of 5 bubbles,Written 1 May 2023,Couples,This place is absolutely incredible!! The orangutans are beautiful and it’s so special to see them being helped by people who are truly passionate about their rehabilitation. Highly highly recommend!!
5.0 of 5 bubbles,Written 24 April 2023,Friends,"Sipilok was a great experience. We were able to see many orangutans in more natural settings. The caretakers call out when the food is set out and the orangutans responds, coming down from trees or across the land. We were very fortunate to see an alpha male who seemed to be ""in charge"". The other orangutans seemed to let him eat first and kind of snuck around to get their share. Watched mom with baby coming down from tress and taking her food back up. Lots of viewing spots and can get some amazing photos. This is a special place in my view because they protect the animals while allowing them to live in their natural habitat. Wonderful experience. I feel so fortunate to have seen them. Saw gorillas in Rwanda and this was as exciting."
5.0 of 5 bubbles,Written 21 April 2023,Family,"We had a fantastic experience here. If you are not on a time-limited tour be sure to go back for multiple feeding times as each will be a different experience. Be alert as we also encountered orangutans on the walkway, in the tree above the restrooms and along the path to the sun bears (we heard the sun bear centre was filled with orangutans the following day).While the main feeding time is widely listed as 10, there is an earlier one at the nursery, so 9 is a better time to arrive. Just be aware that the cafe mentioned as being at the site may not be open. It was closed on the days we visited and appeared to have been for some time. (I got the impression some families with young children had been counting on it). Unrefridgerated water is available for sale at the ticket office, but if you need to buy some, do so at the start, as the ticket office closes after the main entry times ahead of feedings. Also there is an extra (very small) ticket charge for any camera bigger than a mobile phone."
5.0 of 5 bubbles,Written 21 April 2023,Friends,"Visited here as part of a Titan tour.First was a visit to the nursery where you can watch the orangutan from behind glass, its almost like you are in a theatre as the seating is stepped, they are amazing animals and it’s great to be able to watch them play and eating.Next we went to a outside feeding platform where the orangutan are free to come and go as they want, during my visit I was lucky enough that 2 orangutan came to the platform to feed.Amazing place will definitely return."
5.0 of 5 bubbles,Written 12 April 2023,Couples,"A great experience, such incredible work helping these Orangutans relearn their lost skills and eventually make it back to the wild. Meanwhile offering the security of a regular meal if needed since sadly, due to the diminishing natural jungle in Sabah, sometimes food is scarce. I would recommend watching the introduction video before entering the sanctuary, as it explains a lot of how and why they do what they do, and increased the level of appreciation and understanding we got from the experience. And made what we did experience even more incredible. My wife and I went on two separate days and were extremely lucky on both occasions. On the first, at the feeding we saw 7 Orangutans, including a juvenile, an adult male with the large cheeks and a mother with a wild born baby. We also went to the nursery feeding with all those Orangutans too young or only recently rescued. That was an equally special experience and we saw many Orangutans of all ages. On the second visit we saw two Orangutans at the feeding, which was just as incredible as we got to watch the pair interact with one another. We also saw another large Orangutan watching from atop a large tree in the distance, as well as a number of hornbills and macaques. I would recommend bringing a pair of binoculars if you own some. "
